slug,name,ingredients,instructions,base_spirit,category_primary,categories_all,tags,glassware,garnish,technique,difficulty,short_description,seo_description,image_url,image_alt,flavor_strength,flavor_sweetness,flavor_tartness,flavor_bitterness,flavor_aroma,flavor_texture,metadata_json
alexander,Alexander,30 ml Cognac|30 ml Crème de Cacao (Brown)|30 ml Fresh Cream,Pour all ingredients into cocktail shaker filled with ice cubes.,Cognac,Modern,Modern|IBA Official,IBA|Official|Modern,,,shaken,moderate,"A classic modern cocktail made with Cognac, recognized by the International Bartenders Association.",Learn how to make a Alexander with Cognac. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-alexander-669491364f7f2.webp,Alexander cocktail,8,3,3,2,4,8,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/alexander/"",""attribution"":""Based on IBA Official Recipe""}"
bloody-mary,Bloody Mary,45 ml Vodka|90 ml Tomato Juice|15 ml Fresh Lemon Juice|2 dashes Worcestershire Sauce,"Stir gently all the ingredients in a mixing glass with ice, pour into rocks glass.",Vodka,Modern,Modern|IBA Official,IBA|Official|Modern,into rocks,,stirred,moderate,"A classic modern cocktail made with Vodka, recognized by the International Bartenders Association.",Learn how to make a Bloody Mary with Vodka. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-bloody-mary-6695cda72fe0f.webp,Bloody Mary cocktail,6,3,8,2,4,4,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/bloody-mary/"",""attribution"":""Based on IBA Official Recipe""}"
bramble,Bramble,50 ml Gin|25 ml Fresh Lemon Juice|12.5 ml Sugar Syrup|15 ml Crème de Mûre,"Pour all ingredients into cocktail shaker except the Crème de Mûre, shake well with ice, strain into chilled old fashioned glass filled with crushed ice, then pour the blackberry liqueur (Crème de Mûre) over the top of the drink, in a circular motion.",Gin,Modern,Modern|IBA Official,IBA|Official|Modern,,lemon slice,shaken,moderate,"A classic modern cocktail made with Gin, recognized by the International Bartenders Association.",Learn how to make a Bramble with Gin. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-bramble-6695d398036e1.webp,Bramble cocktail,6,6,8,2,7,6,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/bramble/"",""attribution"":""Based on IBA Official Recipe""}"
brandy-crusta,Brandy Crusta,52.5 ml Brandy|15 ml Fresh Lemon Juice|2 Dashes Aromatic Bitters,,Brandy,Modern,Modern|IBA Official,IBA|Official|Modern,slim cocktail,,,easy,"A classic modern cocktail made with Brandy, recognized by the International Bartenders Association.",Learn how to make a Brandy Crusta with Brandy. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-brandy-crusta-6694910571bcb.webp,Brandy Crusta cocktail,8,3,8,6,4,5,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/brandy-crusta/"",""attribution"":""Based on IBA Official Recipe""}"
caipirinha,Caipirinha,60 ml Cachaça|1 Lime cut into small wedges,Fill the glass with cracked ice and add Cachaça. Stir gently to involve ingredients.,,Modern,Modern|IBA Official,IBA|Official|Modern,,,stirred,moderate,"A classic modern cocktail, recognized by the International Bartenders Association.",Learn how to make a Caipirinha. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-caipirinha-6695cda74b13a.webp,Caipirinha cocktail,5,3,7,2,4,4,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/caipirinha/"",""attribution"":""Based on IBA Official Recipe""}"
canchanchara,Canchanchara,60 ml Cuban Aguardiente|15 ml Fresh Lime Juice|15 ml Raw Honey|50 ml Water,"Add cracked ice, and then the rum.",,Modern,Modern|IBA Official,IBA|Official|Modern,,lime wedge,,moderate,"A classic modern cocktail, recognized by the International Bartenders Association.",Learn how to make a Canchanchara. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-canchanchara-6695d39b24d7e.webp,Canchanchara cocktail,6,6,8,2,4,5,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/canchanchara/"",""attribution"":""Based on IBA Official Recipe""}"
corpse-reviver-2,Corpse Reviver #2,30 ml Gin|30 ml Cointreau|30 ml Lillet Blanc|30 ml Fresh Lemon Juice|1 dash Absinthe,Pour all ingredients into shaker with ice.,Gin,Modern,Modern|IBA Official,IBA|Official|Modern,,an orange,shaken,moderate,"A classic modern cocktail made with Gin, recognized by the International Bartenders Association.",Learn how to make a Corpse Reviver #2 with Gin. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-corpse-reviver-2-6695cdad6da15.webp,Corpse Reviver #2 cocktail,6,6,8,2,7,6,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/corpse-reviver-2/"",""attribution"":""Based on IBA Official Recipe""}"
cuba-libre,Cuba Libre,50 ml White Rum|120 ml Cola|10 ml Fresh Lime Juice,Garnish with lime wedge.,Rum,Modern,Modern|IBA Official,IBA|Official|Modern,,lime wedge,,easy,"A classic modern cocktail made with Rum, recognized by the International Bartenders Association.",Learn how to make a Cuba Libre with Rum. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-cuba-libre-6695cdb0a6f80.webp,Cuba Libre cocktail,6,3,8,2,4,5,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/cuba-libre/"",""attribution"":""Based on IBA Official Recipe""}"
dark-n-stormy,Dark ‘N’ Stormy,60 ml Goslings Rum|100 ml Ginger Beer,In a highball glass filled with ice pour the ginger beer and top floating with the Rum.,Gin,Modern,Modern|IBA Official,IBA|Official|Modern,,lime wedge,built,easy,"A classic modern cocktail made with Gin, recognized by the International Bartenders Association.",Learn how to make a Dark ‘N’ Stormy with Gin. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-dark-n-stormy-6695d39e2bd94.webp,Dark ‘N’ Stormy cocktail,6,3,3,2,7,5,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/dark-n-stormy/"",""attribution"":""Based on IBA Official Recipe""}"
dirty-martini,Dirty Martini,,,,Modern,Modern|IBA Official,IBA|Official|Modern,,,,easy,"A classic modern cocktail, recognized by the International Bartenders Association.",Learn how to make a Dirty Martini. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,,,5,3,3,2,4,5,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/dirty-martini/"",""attribution"":""Based on IBA Official Recipe""}"
dry-martini,Dry Martini,60 ml Gin|10 ml Dry Vermouth,"Squeeze oil from lemon peel onto the drink, or garnish with a green olives if requested.",Gin,Classic,Classic|IBA Official,IBA|Official|Classic,,green olives,,easy,"A classic classic cocktail made with Gin, recognized by the International Bartenders Association.",Learn how to make a Dry Martini with Gin. Official IBA Classic cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-dry-martini-6694910fb500c.webp,Dry Martini cocktail,6,3,7,6,6,5,"{""isPopular"":true,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/dry-martini/"",""attribution"":""Based on IBA Official Recipe""}"
french-connection,French Connection,35 ml Cognac|35 ml Amaretto,Pour all ingredients directly into old fashioned glass filled with ice cubes.,Cognac,Modern,Modern|IBA Official,IBA|Official|Modern,,,built,easy,"A classic modern cocktail made with Cognac, recognized by the International Bartenders Association.",Learn how to make a French Connection with Cognac. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-french-connection-6695cdb3cc15f.webp,French Connection cocktail,8,3,3,2,4,5,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/french-connection/"",""attribution"":""Based on IBA Official Recipe""}"
godmother,Godmother,,,,Modern,Modern|IBA Official,IBA|Official|Modern,,,,easy,"A classic modern cocktail, recognized by the International Bartenders Association.",Learn how to make a Godmother. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,,,5,3,3,2,4,5,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/godmother/"",""attribution"":""Based on IBA Official Recipe""}"
golden-dream,Golden Dream,,,,Modern,Modern|IBA Official,IBA|Official|Modern,,,,easy,"A classic modern cocktail, recognized by the International Bartenders Association.",Learn how to make a Golden Dream. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,,,5,3,3,2,4,5,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/golden-dream/"",""attribution"":""Based on IBA Official Recipe""}"
harvey-wallbanger,Harvey Wallbanger,,,,Modern,Modern|IBA Official,IBA|Official|Modern,,,,easy,"A classic modern cocktail, recognized by the International Bartenders Association.",Learn how to make a Harvey Wallbanger. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,,,5,3,3,2,4,5,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/harvey-wallbanger/"",""attribution"":""Based on IBA Official Recipe""}"
hemingway-special,Hemingway Special,60 ml Rum|40 ml Grapefruit Juice|15 ml Maraschino Luxardo|15 ml Fresh Lime,Pour all ingredients into a shaker with ice.,Rum,Modern,Modern|IBA Official,IBA|Official|Modern,,,shaken,moderate,"A classic modern cocktail made with Rum, recognized by the International Bartenders Association.",Learn how to make a Hemingway Special with Rum. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-hemingway-special-6695cdb814e5a.webp,Hemingway Special cocktail,6,3,8,2,4,6,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/hemingway-special/"",""attribution"":""Based on IBA Official Recipe""}"
horse-neck,Horse Neck,,,,Modern,Modern|IBA Official,IBA|Official|Modern,,,,easy,"A classic modern cocktail, recognized by the International Bartenders Association.",Learn how to make a Horse Neck. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,,,5,3,3,2,4,5,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/horse-neck/"",""attribution"":""Based on IBA Official Recipe""}"
john-collins,John Collins,45 ml Gin|30 ml Fresh Lemon Juice|15 ml Simple Syrup|60 ml  Soda Water,Pour all ingredients directly into highball filled with ice. Stir gently.,Gin,Modern,Modern|IBA Official,IBA|Official|Modern,,lemon slice,stirred,moderate,"A classic modern cocktail made with Gin, recognized by the International Bartenders Association.",Learn how to make a John Collins with Gin. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-john-collins-669491130ef87.webp,John Collins cocktail,6,6,8,2,7,4,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/john-collins/"",""attribution"":""Based on IBA Official Recipe""}"
kamikaze,Kamikaze,,,,Modern,Modern|IBA Official,IBA|Official|Modern,,,,easy,"A classic modern cocktail, recognized by the International Bartenders Association.",Learn how to make a Kamikaze. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,,,5,3,3,2,4,5,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/kamikaze/"",""attribution"":""Based on IBA Official Recipe""}"
kir,Kir,90 ml Dry White Wine|10 ml Crème de Cassis,"Pour Crème de Cassis into glass, top up with white wine.",,Modern,Modern|IBA Official,IBA|Official|Modern,,,built,easy,"A classic modern cocktail, recognized by the International Bartenders Association.",Learn how to make a Kir. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-kir-6695cdbdbb2e1.webp,Kir cocktail,4,3,3,2,4,5,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/kir/"",""attribution"":""Based on IBA Official Recipe""}"
lemon-drop-martini,Lemon Drop Martini,30 ml Vodka|20 ml Triple Sec|15 ml Fresh Squeezed Lemon Juice,Pour all ingredients into a shaker with ice.,Vodka,Modern,Modern|IBA Official,IBA|Official|Modern,,,shaken,moderate,"A classic modern cocktail made with Vodka, recognized by the International Bartenders Association.",Learn how to make a Lemon Drop Martini with Vodka. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-lemon-drop-martini-6695cdbe3eed7.webp,Lemon Drop Martini cocktail,6,6,8,2,4,6,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/lemon-drop-martini/"",""attribution"":""Based on IBA Official Recipe""}"
long-island-iced-tea,Long Island Iced Tea,15 ml Vodka|15 ml Tequila|15 ml White rum|15 ml Gin|15 ml Cointreau|25 ml Lemon juice|30 ml Simple syrup,Add all ingredients into highball glass filled with ice.,Gin,Contemporary,Contemporary|IBA Official,IBA|Official|Contemporary,,lemon slice,,advanced,"A classic contemporary cocktail made with Gin, recognized by the International Bartenders Association.",Learn how to make a Long Island Iced Tea with Gin. Official IBA Contemporary cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-long-island-iced-tea-6695cdc10c463.webp,Long Island Iced Tea cocktail,6,6,8,2,7,5,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/long-island-iced-tea/"",""attribution"":""Based on IBA Official Recipe""}"
mary-pickford,Mary Pickford,45 ml White Rum|45 ml Fresh Pineapple Juice|7.5 ml Maraschino Luxardo|5 ml Grenadine Syrup,"Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",Rum,Modern,Modern|IBA Official,IBA|Official|Modern,,,shaken,moderate,"A classic modern cocktail made with Rum, recognized by the International Bartenders Association.",Learn how to make a Mary Pickford with Rum. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-mary-pickford-6694911933ea7.webp,Mary Pickford cocktail,6,3,3,2,4,6,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/mary-pickford/"",""attribution"":""Based on IBA Official Recipe""}"
monkey-gland,Monkey Gland,45 ml Dry Gin|45 ml Fresh Orange Juice,"Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",Gin,Modern,Modern|IBA Official,IBA|Official|Modern,,,shaken,moderate,"A classic modern cocktail made with Gin, recognized by the International Bartenders Association.",Learn how to make a Monkey Gland with Gin. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-monkey-gland-6694911cbf5a2.webp,Monkey Gland cocktail,6,3,3,2,7,6,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/monkey-gland/"",""attribution"":""Based on IBA Official Recipe""}"
new-york-sour,New York Sour,60 ml Rye Whiskey or Bourbon|22.5 ml Simple syrup|30 ml Fresh lemon juice|15 ml Red wine (Shiraz or Malbech),Pour all ingredients into the shaker. Shake vigorously with ice.,Whiskey,Modern,Modern|IBA Official,IBA|Official|Modern,,lemon or,shaken,moderate,"A classic modern cocktail made with Whiskey, recognized by the International Bartenders Association.",Learn how to make a New York Sour with Whiskey. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-new-york-sour-6695d3ae88cd2.webp,New York Sour cocktail,8,6,8,2,4,6,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/new-york-sour/"",""attribution"":""Based on IBA Official Recipe""}"
paradise,Paradise,30 ml Gin|20 ml Apricot Brandy|15 ml Fresh Orange Juice,"Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",Gin,Modern,Modern|IBA Official,IBA|Official|Modern,,,shaken,moderate,"A classic modern cocktail made with Gin, recognized by the International Bartenders Association.",Learn how to make a Paradise with Gin. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-paradise-6694911fdbd4b.webp,Paradise cocktail,8,3,3,2,7,6,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/paradise/"",""attribution"":""Based on IBA Official Recipe""}"
pina-colada,Pina Colada,50 ml White Rum|30 ml Coconut Cream|50 ml Fresh Pineapple Juice,pour into a large glass and serve with straws.,Rum,Contemporary,Contemporary|IBA Official,IBA|Official|Contemporary,,slice of,built,easy,"A classic contemporary cocktail made with Rum, recognized by the International Bartenders Association.",Learn how to make a Pina Colada with Rum. Official IBA Contemporary cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-pina-colada-6695cdcabbf00.webp,Pina Colada cocktail,6,3,3,2,4,8,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/pina-colada/"",""attribution"":""Based on IBA Official Recipe""}"
porto-flip,Porto Flip,15 ml Brandy|45 ml Red Tawny Port Wine|10 ml Egg Yolk,"Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",Brandy,Modern,Modern|IBA Official,IBA|Official|Modern,,,shaken,moderate,"A classic modern cocktail made with Brandy, recognized by the International Bartenders Association.",Learn how to make a Porto Flip with Brandy. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-porto-flip-669491230cea4.webp,Porto Flip cocktail,8,3,3,2,4,6,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/porto-flip/"",""attribution"":""Based on IBA Official Recipe""}"
russian-spring-punch,Russian Spring Punch,25 ml Vodka|25 ml Fresh Lemon Juice|15 ml Creme de Cassis|10 ml Sugar Syrup,"Pour all ingredients into cocktail shaker except the sparkling wine, shake well with ice, strain into chilled tall tumbler glass filled with ice",Vodka,Modern,Modern|IBA Official,IBA|Official|Modern,,blackberries and,shaken,moderate,"A classic modern cocktail made with Vodka, recognized by the International Bartenders Association.",Learn how to make a Russian Spring Punch with Vodka. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-russian-spring-punch-6695d3ba314f1.webp,Russian Spring Punch cocktail,6,6,8,2,4,6,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/russian-spring-punch/"",""attribution"":""Based on IBA Official Recipe""}"
spicy-fifty,Spicy Fifty,50 ml Vodka Vanilla|15 ml Elderflower Cordial|15 ml Fresh Lime Juice|10 ml Monin Honey Syrup|2 thin Slices Red Chili Pepper,"Pour all ingredients into a cocktail shaker, shake well with ice, double-strain into chilled cocktail glass.",Vodka,Modern,Modern|IBA Official,IBA|Official|Modern,,red chili,shaken,moderate,"A classic modern cocktail made with Vodka, recognized by the International Bartenders Association.",Learn how to make a Spicy Fifty with Vodka. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-spicy-fifty-6695d3bdd14b1.webp,Spicy Fifty cocktail,6,6,8,2,4,6,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/spicy-fifty/"",""attribution"":""Based on IBA Official Recipe""}"
stinger,Stinger,50 ml Cognac|20 ml White Crème de Menthe,Pour all ingredients into mixing glass with ice cubes. Stir well.,Cognac,Modern,Modern|IBA Official,IBA|Official|Modern,,,stirred,moderate,"A classic modern cocktail made with Cognac, recognized by the International Bartenders Association.",Learn how to make a Stinger with Cognac. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-stinger-6694912ce0b8d.webp,Stinger cocktail,8,3,3,2,4,4,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/stinger/"",""attribution"":""Based on IBA Official Recipe""}"
tequila-sunrise,Tequila Sunrise,45 ml Tequila|90 ml Fresh Orange Juice|15 ml Grenadine Syrup,Pour tequila and orange juice directly into highball glass filled with ice cubes.,Tequila,Modern,Modern|IBA Official,IBA|Official|Modern,,half orange,built,easy,"A classic modern cocktail made with Tequila, recognized by the International Bartenders Association.",Learn how to make a Tequila Sunrise with Tequila. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-tequila-sunrise-6695cdd3da10a.webp,Tequila Sunrise cocktail,6,3,3,2,4,5,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/tequila-sunrise/"",""attribution"":""Based on IBA Official Recipe""}"
tommy-margarita,Tommy Margarita,,,,Modern,Modern|IBA Official,IBA|Official|Modern,,,,easy,"A classic modern cocktail, recognized by the International Bartenders Association.",Learn how to make a Tommy Margarita. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,,,5,3,3,2,4,5,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/tommy-margarita/"",""attribution"":""Based on IBA Official Recipe""}"
tuxedo,Tuxedo,30 ml Old Tom Gin|30 ml Dry Vermouth|3 Dashes Orange Bitters,Pour all ingredients into mixing glass with ice cubes. Stir well.,Gin,Modern,Modern|IBA Official,IBA|Official|Modern,,cherry and,stirred,moderate,"A classic modern cocktail made with Gin, recognized by the International Bartenders Association.",Learn how to make a Tuxedo with Gin. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-tuxedo-6694912fd3b8f.webp,Tuxedo cocktail,6,3,3,6,7,4,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/tuxedo/"",""attribution"":""Based on IBA Official Recipe""}"
vesper,Vesper,45 ml Gin|15 ml Vodka|7.5 ml Lillet Blanc,Pour all ingredients into cocktail shaker filled with ice cubes.,Gin,Modern,Modern|IBA Official,IBA|Official|Modern,,lemon zest,shaken,moderate,"A classic modern cocktail made with Gin, recognized by the International Bartenders Association.",Learn how to make a Vesper with Gin. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-vesper-6695cdd43284b.webp,Vesper cocktail,6,3,3,2,7,6,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/vesper/"",""attribution"":""Based on IBA Official Recipe""}"
yellow-bird,Yellow Bird,,,,Modern,Modern|IBA Official,IBA|Official|Modern,,,,easy,"A classic modern cocktail, recognized by the International Bartenders Association.",Learn how to make a Yellow Bird. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,,,5,3,3,2,4,5,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/yellow-bird/"",""attribution"":""Based on IBA Official Recipe""}"
zombie,Zombie,45 ml Jamaican dark rum|45 ml Gold Puerto Rican rum|30 ml Demerara Rum|20 ml Fresh lime juice|15 ml Falernum|15 ml Donn’s Mix*|1 tsp Grenadine syrup|1 dash Angostura bitters,Add all ingredients into an electric blender with 170 grams of cracked ice.,Rum,Modern,Modern|IBA Official,IBA|Official|Modern,,mint leaves,blended,advanced,"A classic modern cocktail made with Rum, recognized by the International Bartenders Association.",Learn how to make a Zombie with Rum. Official IBA Modern cocktail recipe with ingredients and step-by-step instructions.,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-zombie-6695cdd6cef05.webp,Zombie cocktail,6,3,8,6,4,5,"{""isPopular"":false,""source"":""IBA Official"",""sourceUrl"":""https://iba-world.com/iba-cocktail/zombie/"",""attribution"":""Based on IBA Official Recipe""}"