ID,slug,name,short_description,long_description,seo_description,base_spirit,category_primary,categories_all,tags,image_url,image_alt,glassware,garnish,technique,difficulty,flavor_strength,flavor_sweetness,flavor_tartness,flavor_bitterness,flavor_aroma,flavor_texture,notes,fun_fact,fun_fact_source,metadata_json,ingredients,instructions
,alaska,Alaska,"A pre-Prohibition stirred cocktail combining gin with yellow Chartreuse for a herbal, warming profile.","The Alaska first appeared in Hugo Ensslin's 1917 Recipes for Mixed Drinks, making it one of the earliest Chartreuse cocktails in American bartending literature. Combining London dry gin's botanicals with yellow Chartreuse's honeyed herbal complexity creates a bracing, warming drink that became associated with colder climates despite its name. The drink predates Alaska's statehood and the origin of its name remains unclear, though some suggest it references the drink's perceived warming qualities.",Learn how to make an Alaska cocktail with gin and yellow Chartreuse, a classic pre-Prohibition stirred drink.,Gin,Spirit-forward,Spirit-forward|Stirred|Pre-Prohibition,gin|chartreuse|orange bitters|stirred|cold weather,,Alaska cocktail served in a chilled coupe, pale yellow-green in color, garnished with orange twist.,Chilled coupe,Orange twist,stirred,moderate,7,3,2,5,8,5,"Use a quality London dry gin; the botanical profile should complement rather than compete with the Chartreuse. Some modern versions increase the Chartreuse ratio slightly, though the original proportions balance well.","The Alaska first appeared in Hugo Ensslin's 1917 Recipes for Mixed Drinks, one of the few pre-Prohibition cocktail books to survive Prohibition.","Ensslin, Recipes for Mixed Drinks (1917); David Wondrich, Imbibe!",{},"2 oz gin|0.75 oz yellow Chartreuse|2 dashes orange bitters","Pour all ingredients into a mixing glass with ice. Stir until well chilled. Strain into a chilled coupe."
,bijou,Bijou,"A pre-Prohibition equal-parts cocktail combining gin, sweet vermouth, and green Chartreuse for a complex herbal profile.","The Bijou first appeared in Harry Johnson's 1900 Bartenders' Manual, making it one of the earliest equal-parts cocktails in American bartending. The name, French for 'jewel,' refers to the drink's three-colored appearance representing diamond, ruby, and emerald when properly prepared. Combining gin's botanicals with sweet vermouth's wine complexity and green Chartreuse's intense herbal character creates a complex, aromatic drink that showcases the evolution of American cocktail culture at the turn of the 20th century.",Learn how to make a Bijou cocktail with gin, sweet vermouth, and green Chartreuse, a classic equal-parts pre-Prohibition drink.,Gin,Spirit-forward,Spirit-forward|Stirred|Pre-Prohibition,gin|chartreuse|vermouth|orange bitters|stirred|equal parts,,Bijou cocktail served in a chilled coupe, amber-green in color, garnished with orange twist.,Chilled coupe,Orange twist,stirred,moderate,8,5,2,6,9,5,"The equal-parts ratio is essential to the Bijou's balance; adjusting proportions significantly changes the drink's character. Some modern variations use slightly less Chartreuse, though purists maintain the original equal measure.","The Bijou first appeared in Harry Johnson's 1900 Bartenders' Manual, with the name referring to the drink's jewel-like three-colored appearance.","Harry Johnson, Bartenders' Manual (1900); David Wondrich, Imbibe!",{},"1.5 oz gin|1.5 oz sweet vermouth|1.5 oz green Chartreuse|2 dashes orange bitters","Pour all ingredients into a mixing glass with ice. Stir until well chilled. Strain into a chilled coupe or Nick & Nora glass."
,bobby-burns,Bobby Burns,"A Manhattan variation using Scotch whisky instead of rye or bourbon, with a touch of Bénédictine for herbal complexity.","The Bobby Burns emerged in the early 20th century as Scotch whisky gained popularity in American bars, offering a variation on the Manhattan structure with peat and grain complexity. The name honors Scottish poet Robert Burns, and the drink typically includes a small measure of Bénédictine, which adds herbal sweetness without overwhelming the whisky. This variation showcases how base spirit substitution can fundamentally alter a cocktail family while maintaining structural integrity.",Learn how to make a Bobby Burns cocktail with Scotch whisky, sweet vermouth, and Bénédictine, a classic Manhattan variation.,Scotch,Spirit-forward,Spirit-forward|Stirred|Manhattan Family,scotch|vermouth|benedictine|orange bitters|stirred|robert burns,,Bobby Burns cocktail served in a chilled coupe, amber-brown in color, garnished with lemon twist.,Chilled coupe,Lemon twist,stirred,moderate,8,4,2,5,7,5,"The Bénédictine proportion is critical; too much overwhelms the Scotch, while too little fails to differentiate it from a standard Scotch Manhattan. Some recipes call for equal parts Scotch and vermouth, though the 2:1 ratio better balances the whisky's intensity.","The Bobby Burns cocktail is named after Scottish poet Robert Burns, though the exact origin of the drink's creation is undocumented.","Harry Craddock, The Savoy Cocktail Book (1930); Robert Hess, The Essential Bartender's Guide",{},"2 oz Scotch whisky|1 oz sweet vermouth|0.25 oz Bénédictine|2 dashes orange bitters","Pour all ingredients into a mixing glass with ice. Stir until well chilled. Strain into a chilled coupe or Nick & Nora glass."
,champs-elysees,Champs-Élysées,"A Sidecar variation from the 1920s that substitutes yellow Chartreuse for orange liqueur, creating a herbal-citrus profile.","The Champs-Élysées first appeared in Harry MacElhone's 1923 ABC of Mixing Cocktails, representing the era's experimentation with liqueur substitutions in classic sour structures. Replacing the Sidecar's orange liqueur with yellow Chartreuse shifts the drink from bright citrus to herbal complexity, while maintaining the Cognac's richness. The name references the famous Parisian avenue, reflecting both the drink's French ingredients and the cosmopolitan cocktail culture of the 1920s.",Learn how to make a Champs-Élysées cocktail with Cognac, yellow Chartreuse, and lemon juice, a classic 1920s Sidecar variation.,Cognac,Sour,Sour|Sidecar Family,cognac|chartreuse|lemon|shaken|french,,Champs-Élysées cocktail served in a chilled coupe, pale golden in color, garnished with lemon twist.,Chilled coupe,Lemon twist,shaken,moderate,7,4,6,4,7,5,"Yellow Chartreuse provides both sweetness and herbal complexity, reducing the need for additional simple syrup. Some modern versions adjust the lemon ratio based on personal preference for tartness.","The Champs-Élysées first appeared in Harry MacElhone's 1923 ABC of Mixing Cocktails, named for the famous Parisian avenue.","Harry MacElhone, ABC of Mixing Cocktails (1923); David Wondrich, Imbibe!",{},"2 oz Cognac|0.75 oz yellow Chartreuse|0.75 oz fresh lemon juice|1 teaspoon simple syrup|2 dashes Angostura bitters","Pour all ingredients into a shaker with ice. Shake until well chilled. Strain into a chilled coupe."
,el-diablo,El Diablo,"A tequila-based mule variation that combines crème de cassis with ginger beer for a fruity, spicy profile.","The El Diablo emerged in the mid-20th century as tequila gained popularity in American bars, applying the mule structure to Mexico's national spirit. Combining crème de cassis's blackcurrant sweetness with ginger beer's spice creates a distinctive fruity heat that complements tequila's agave character. The drink demonstrates how the mule template adapts across base spirits while maintaining the highball's refreshing, sessionable qualities.",Learn how to make an El Diablo cocktail with tequila, crème de cassis, lime juice, and ginger beer, a classic mule variation.,Tequila,Highball,Highball|Mule Family|Tequila Cocktail,tequila|creme de cassis|lime|ginger beer|built|mexican,,El Diablo cocktail served in a highball glass over ice, deep red-purple in color, garnished with lime wedge.,Highball glass,Lime wedge,built,easy,6,5,6,2,6,5,"The crème de cassis provides sufficient sweetness; additional simple syrup is rarely needed. Use a quality ginger beer with pronounced spice rather than overly sweet commercial varieties.","The El Diablo first appeared in Trader Vic's Bartender's Guide (1947), though its exact origins are unclear.","Trader Vic, Trader Vic's Bartender's Guide (1947); Robert Hess, The Essential Bartender's Guide",{},"2 oz tequila|0.75 oz crème de cassis|0.75 oz fresh lime juice|4 oz ginger beer","Build tequila, crème de cassis, and lime juice in a highball glass filled with ice. Top with ginger beer. Stir gently."
,fancy-free,Fancy Free,"An Old Fashioned variation that replaces simple syrup with maraschino liqueur for subtle cherry-almond sweetness.","The Fancy Free first appeared in David Embury's 1948 Fine Art of Mixing Drinks, representing mid-20th century experimentation with liqueur substitutions in the Old Fashioned structure. Replacing simple syrup with maraschino liqueur adds subtle cherry and almond notes while maintaining the drink's spirit-forward character. The name suggests a carefree approach to cocktail modification, reflecting Embury's systematic exploration of cocktail families.",Learn how to make a Fancy Free cocktail with bourbon, maraschino liqueur, and bitters, a classic Old Fashioned variation.,Bourbon,Spirit-forward,Spirit-forward|Stirred|Old Fashioned Family,bourbon|maraschino|orange bitters|angostura bitters|stirred|old fashioned,,Fancy Free cocktail served in a rocks glass over a large ice cube, amber in color, garnished with orange twist.,Rocks glass,Orange twist,stirred,moderate,8,4,2,6,7,5,"Maraschino liqueur provides both sweetness and flavor complexity; the small measure ensures it enhances rather than dominates. Some modern versions adjust the maraschino ratio slightly, though Embury's original proportion balances well.","The Fancy Free first appeared in David Embury's 1948 Fine Art of Mixing Drinks, demonstrating systematic variation of the Old Fashioned structure.","David Embury, Fine Art of Mixing Drinks (1948)",{},"2 oz bourbon|0.5 oz maraschino liqueur|2 dashes orange bitters|2 dashes Angostura bitters","Pour all ingredients into a mixing glass with ice. Stir until well chilled. Strain into a rocks glass over a large ice cube."
,floridita-daiquiri,Floridita Daiquiri,"The signature daiquiri variation from Havana's El Floridita bar, combining lime and grapefruit with a touch of maraschino.","The Floridita Daiquiri became famous at Havana's El Floridita bar in the 1930s, where Ernest Hemingway was a regular patron. Bartender Constantino Ribalaigua Vert added grapefruit juice and maraschino liqueur to the classic daiquiri formula, creating a more complex sour that suited the tropical climate. The drink's association with Hemingway and pre-revolutionary Havana has made it one of the most documented daiquiri variations in cocktail history.",Learn how to make a Floridita Daiquiri with white rum, lime juice, grapefruit juice, and maraschino liqueur, the signature drink from Havana's famous bar.,Rum,Sour,Sour|Daiquiri Family|Havana,rum|maraschino|lime|grapefruit|shaken|cuban,,Floridita Daiquiri served in a chilled coupe, pale yellow in color, no garnish.,Chilled coupe,None,shaken,moderate,7,4,7,2,6,5,"The grapefruit juice adds tartness and body, while the maraschino provides subtle sweetness and complexity. Some modern bars blend this drink rather than shaking, though the original method was shaken and strained.","The Floridita Daiquiri was created at Havana's El Floridita bar in the 1930s by bartender Constantino Ribalaigua Vert, where Ernest Hemingway was a frequent patron.","Constantino Ribalaigua Vert; Jeffrey Morgenthaler, The Bar Book",{},"2 oz white rum|0.5 oz fresh lime juice|0.5 oz fresh grapefruit juice|0.5 oz simple syrup|0.25 oz maraschino liqueur","Pour all ingredients into a shaker with ice. Shake until well chilled. Strain into a chilled coupe."
,gin-rickey,Gin Rickey,"A classic highball combining gin with fresh lime juice and club soda, lighter than a Collins due to the absence of sugar.","The Rickey was invented at Shoemaker's bar in Washington, D.C. in the 1890s, originally made with bourbon for lobbyist Colonel Joe Rickey. The gin version became more popular during Prohibition, when gin was more readily available than quality whiskey. The drink's defining characteristic is its lack of sweetener, making it drier and more refreshing than a Collins, with the lime providing all necessary acidity.",Learn how to make a Gin Rickey with gin, fresh lime juice, and club soda, a classic unsweetened highball from the 1890s.,Gin,Highball,Highball|Collins Family|Rickey Family,gin|lime|club soda|built|low-proof,,Gin Rickey served in a highball glass over ice, clear with pale green tint, garnished with lime wedge.,Highball glass,Lime wedge,built,easy,5,2,6,2,5,4,"Unlike a Collins, the Rickey contains no sugar, relying solely on lime juice for tartness. The drink should be built in the glass rather than shaken, preserving the soda's carbonation.","The Rickey was invented at Shoemaker's bar in Washington, D.C. in the 1890s, named for lobbyist Colonel Joe Rickey. The gin version became standard during Prohibition.","David Wondrich, Imbibe!; Jerry Thomas, How to Mix Drinks",{},"2 oz gin|0.75 oz fresh lime juice|4 oz club soda","Build gin and lime juice in a highball glass filled with ice. Top with club soda. Stir gently."
,improved-whiskey-cocktail,Improved Whiskey Cocktail,"A 19th-century enhancement of the whiskey cocktail that adds maraschino liqueur and absinthe for additional complexity.","The Improved Whiskey Cocktail appeared in Jerry Thomas's 1862 How to Mix Drinks, representing the era's experimentation with liqueur additions to base cocktails. The 'improved' designation refers to the addition of maraschino and absinthe, which add aromatic complexity beyond the basic spirit, sugar, and bitters structure. This drink bridges the gap between the simple Old Fashioned and more elaborate 19th-century cocktails, showing how bartenders systematically enhanced existing formulas.",Learn how to make an Improved Whiskey Cocktail with rye whiskey, maraschino liqueur, absinthe, and bitters, a classic 19th-century variation.,Rye,Spirit-forward,Spirit-forward|Stirred|Old Fashioned Family|Improved,rye|maraschino|absinthe|angostura bitters|peychauds bitters|stirred,,Improved Whiskey Cocktail served in a chilled coupe, amber in color, garnished with lemon twist.,Chilled coupe,Lemon twist,stirred,moderate,8,4,2,7,8,5,"The absinthe and maraschino are used sparingly; they should enhance rather than dominate the whiskey. Some modern versions increase these proportions slightly, though the original balance emphasizes the base spirit.","The Improved Whiskey Cocktail first appeared in Jerry Thomas's 1862 How to Mix Drinks, demonstrating systematic enhancement of the basic whiskey cocktail structure.","Jerry Thomas, How to Mix Drinks (1862); David Wondrich, Imbibe!",{},"2 oz rye whiskey|1 barspoon simple syrup|2 dashes Angostura bitters|2 dashes Peychaud's bitters|0.25 oz maraschino liqueur|0.25 oz absinthe","Pour all ingredients into a mixing glass with ice. Stir until well chilled. Strain into a chilled coupe or rocks glass over a large ice cube."
,little-italy,Little Italy,"A Manhattan variation from the 1960s that substitutes Cynar for half the vermouth, creating a bitter, herbal profile.","The Little Italy emerged in the 1960s as amaro gained popularity in American cocktail culture, representing a regional variation on the Manhattan structure. Combining Cynar's artichoke and herbal bitterness with sweet vermouth creates a complex, layered drink that maintains the Manhattan's spirit-forward character while introducing Italian amaro tradition. The name references the Italian-American communities where such variations likely originated.",Learn how to make a Little Italy cocktail with rye whiskey, Cynar, and sweet vermouth, a classic bitter Manhattan variation.,Rye,Spirit-forward,Spirit-forward|Stirred|Manhattan Family|Amaro,rye|cynar|vermouth|angostura bitters|stirred|bitter,,Little Italy cocktail served in a rocks glass over a large ice cube, dark amber-brown in color, garnished with orange twist.,Rocks glass,Orange twist,stirred,moderate,8,3,2,7,8,5,"Cynar's bitterness balances the vermouth's sweetness; the equal parts vermouth and amaro create a harmonious bitter-sweet profile. Some modern versions adjust proportions slightly, though the original ratio balances well.","The Little Italy first appeared in the 1960s, though its exact origins are undocumented. The name references Italian-American neighborhoods where amaro cocktails gained popularity.","Gary Regan, The Joy of Mixology",{},"2 oz rye whiskey|1 oz Cynar|1 oz sweet vermouth|2 dashes Angostura bitters","Pour all ingredients into a mixing glass with ice. Stir until well chilled. Strain into a rocks glass over a large ice cube."
,lucien-gaudin,Lucien Gaudin,"A pre-Prohibition cocktail combining gin, Cointreau, Campari, and dry vermouth in equal parts for a balanced bitter-orange profile.","The Lucien Gaudin first appeared in Harry MacElhone's 1929 Barflies and Cocktails, named after the French Olympic fencer who won gold medals in 1924 and 1928. The drink combines elements of both the Negroni and the Corpse Reviver No. 2, using Campari's bitterness with Cointreau's orange sweetness and dry vermouth's herbal complexity. The equal-parts structure creates a balanced, aperitif-style drink that showcases how French ingredients influenced American cocktail culture in the 1920s.",Learn how to make a Lucien Gaudin cocktail with gin, Cointreau, Campari, and dry vermouth, a classic pre-Prohibition equal-parts drink.,Gin,Spirit-forward,Spirit-forward|Stirred|Negroni Family,gin|cointreau|campari|dry vermouth|stirred|equal parts,,Lucien Gaudin cocktail served in a chilled coupe, amber-red in color, garnished with orange twist.,Chilled coupe,Orange twist,stirred,moderate,7,4,2,6,8,5,"The equal-parts ratio is essential to the Lucien Gaudin's balance; each ingredient should be present but none dominant. Some modern versions adjust proportions slightly, though the original equal measure creates the intended harmony.","The Lucien Gaudin first appeared in Harry MacElhone's 1929 Barflies and Cocktails, named after French Olympic fencer Lucien Gaudin, who won gold medals in 1924 and 1928.","Harry MacElhone, Barflies and Cocktails (1929); David Wondrich, Imbibe!",{},"2 oz gin|0.75 oz Cointreau|0.75 oz Campari|0.75 oz dry vermouth","Pour all ingredients into a mixing glass with ice. Stir until well chilled. Strain into a chilled coupe or Nick & Nora glass."
,montgomery-martini,Montgomery Martini,"An extra-dry Martini variation with a 6:1 gin-to-vermouth ratio, named for Field Marshal Montgomery who preferred his martinis very dry.","The Montgomery Martini takes its name from British Field Marshal Bernard Montgomery, who purportedly preferred his martinis so dry that the ratio resembled his preferred odds in battle—six British soldiers to one German. Whether apocryphal or not, the 6:1 ratio represents the drier end of the Martini spectrum, where vermouth serves primarily to round edges rather than contribute flavor. This ratio became popular in the mid-20th century as American tastes shifted toward increasingly dry martinis.",Learn how to make a Montgomery Martini with gin and dry vermouth in a 6:1 ratio, an extra-dry Martini variation.,Gin,Spirit-forward,Spirit-forward|Stirred|Martini Family,gin|dry vermouth|stirred|dry martini|6:1,,Montgomery Martini served in a chilled coupe, clear and pale, garnished with lemon twist or olive.,Chilled coupe,Lemon twist or olive,stirred,moderate,7,2,2,3,6,5,"The 6:1 ratio is the defining characteristic; adjusting significantly changes the drink's character. Some versions go as high as 15:1, though 6:1 represents a balanced extra-dry martini.","The Montgomery Martini is named for British Field Marshal Bernard Montgomery, who purportedly preferred his martinis at a 6:1 ratio, matching his preferred battle odds.","Harry Craddock, The Savoy Cocktail Book (1930); Robert Hess, The Essential Bartender's Guide",{},"3 oz gin|0.5 oz dry vermouth","Pour gin and vermouth into a mixing glass with ice. Stir until well chilled. Strain into a chilled coupe or Nick & Nora glass."
,preakness,Preakness,"A Manhattan variation from the 1930s that adds Bénédictine for herbal sweetness, named after the horse race.","The Preakness first appeared in the 1930s, named after the second leg of American horse racing's Triple Crown. The drink is essentially a Manhattan with Bénédictine added, creating a richer, more herbal profile than the standard formula. Like the Blackthorne and Tipperary, it represents the era's experimentation with liqueur additions to classic structures, showing how a single ingredient modification can create a distinctly different cocktail experience.",Learn how to make a Preakness cocktail with rye whiskey, sweet vermouth, and Bénédictine, a classic 1930s Manhattan variation.,Rye,Spirit-forward,Spirit-forward|Stirred|Manhattan Family,rye|vermouth|benedictine|angostura bitters|stirred|kentucky derby,,Preakness cocktail served in a chilled coupe, amber-brown in color, garnished with lemon twist.,Chilled coupe,Lemon twist,stirred,moderate,8,5,2,5,7,5,"The Bénédictine provides both sweetness and herbal complexity, reducing the need for additional sweetening agents. Some modern versions adjust the Bénédictine proportion slightly, though the original ratio balances well.","The Preakness first appeared in the 1930s, named after the Preakness Stakes horse race, the second leg of the Triple Crown.","Harry Craddock, The Savoy Cocktail Book (1930); Robert Hess, The Essential Bartender's Guide",{},"2 oz rye whiskey|1 oz sweet vermouth|0.75 oz Bénédictine|2 dashes Angostura bitters","Pour all ingredients into a mixing glass with ice. Stir until well chilled. Strain into a chilled coupe or Nick & Nora glass."
,queens-park-swizzle,Queen's Park Swizzle,"A Trinidadian swizzle combining aged rum, lime, mint, and Angostura bitters, stirred with a swizzle stick until frosty.","The Queen's Park Swizzle originated in Trinidad's Queen's Park Hotel in the early 20th century, representing the island's swizzle tradition that predates the American cocktail. Unlike shaken cocktails, swizzles are built and stirred in the serving glass with a swizzle stick, creating dilution and aeration through agitation rather than shaking. The drink's combination of mint, lime, and Angostura bitters—all ingredients readily available in Trinidad—creates a refreshing, complex highball that showcases rum's versatility.",Learn how to make a Queen's Park Swizzle with aged rum, lime juice, mint, and Angostura bitters, a classic Trinidadian swizzle cocktail.,Rum,Highball,Highball|Swizzle|Tiki,rum|lime|mint|bitters|swizzle|trinidad,,Queen's Park Swizzle served in a tall glass or mug filled with crushed ice, pale brown-green in color, garnished with mint sprig.,Mug or tall glass,Mint sprig,swizzle,advanced,7,4,6,5,8,5,"The swizzle technique is essential; use a proper swizzle stick or barspoon to agitate the drink until frost forms on the glass. The Angostura bitters float on top as a final aromatic layer.","The Queen's Park Swizzle originated at Trinidad's Queen's Park Hotel in the early 20th century, representing the island's native swizzle cocktail tradition.","Jeffrey Morgenthaler, The Bar Book; Martin Cate, Smuggler's Cove",{},"2 oz aged rum|1 oz fresh lime juice|0.75 oz simple syrup|8-10 mint leaves|2 dashes Angostura bitters","Muddle mint leaves gently in a tall glass. Add rum, lime juice, and simple syrup. Fill with crushed ice. Swizzle with a swizzle stick or barspoon until frost forms on the glass. Top with more crushed ice and float Angostura bitters on top."
,widows-kiss,Widow's Kiss,"A pre-Prohibition cocktail combining calvados with yellow Chartreuse and Bénédictine for a rich, herbal-apple profile.","The Widow's Kiss first appeared in George Kappeler's 1895 Modern American Drinks, making it one of the earliest apple brandy cocktails in American bartending literature. Combining calvados's apple fruitiness with yellow Chartreuse's honeyed herbs and Bénédictine's spice creates a complex, warming drink that showcases how apple brandy functions as a base spirit. The drink's name and rich, layered profile suggest a sophisticated, contemplative cocktail suited to late-19th century tastes.",Learn how to make a Widow's Kiss cocktail with calvados, yellow Chartreuse, and Bénédictine, a classic pre-Prohibition stirred drink.,Apple Brandy,Spirit-forward,Spirit-forward|Stirred|Pre-Prohibition,calvados|chartreuse|benedictine|angostura bitters|stirred|herbal,,Widow's Kiss cocktail served in a chilled coupe, golden-amber in color, garnished with apple slice.,Chilled coupe,Apple slice,stirred,moderate,8,6,2,5,9,5,"The combination of Chartreuse and Bénédictine provides significant sweetness; no additional sugar is needed. Use a quality calvados with pronounced apple character rather than a neutral apple brandy.","The Widow's Kiss first appeared in George Kappeler's 1895 Modern American Drinks, one of the earliest published apple brandy cocktails.","George Kappeler, Modern American Drinks (1895); David Wondrich, Imbibe!",{},"2 oz calvados|1 oz yellow Chartreuse|1 oz Bénédictine|2 dashes Angostura bitters","Pour all ingredients into a mixing glass with ice. Stir until well chilled. Strain into a chilled coupe or Nick & Nora glass."
